Run ID,Timestamp,Overall Accuracy,Num Agents,Num Obstacles
20250306_234444,2025-03-06 23:45:05,73.8351107584212,10,100
20250306_234539,2025-03-06 23:45:56,61.83638319138164,10,100
20250306_234618,2025-03-06 23:46:28,71.89881458005316,10,100
20250306_234723,2025-03-06 23:47:49,70.48762110460271,10,100
20250306_234809,2025-03-06 23:48:20,67.90546009481584,10,100
20250306_234826,2025-03-06 23:48:42,65.52050497650978,10,100
20250306_234846,2025-03-06 23:48:58,64.07865098727615,10,100
20250306_234924,2025-03-06 23:49:34,76.86404296303476,10,100
20250306_234937,2025-03-06 23:49:49,63.415636934092014,10,100
20250306_235005,2025-03-06 23:50:20,71.48192952226107,10,100
20250306_235740,2025-03-06 23:57:55,64.61646893484989,10,100
20250306_235810,2025-03-06 23:58:21,66.74235045798001,10,100
20250306_235825,2025-03-06 23:58:36,65.23447084739101,10,100
20250306_235839,2025-03-06 23:58:52,58.534702791344,10,100
20250306_235859,2025-03-06 23:59:11,67.19321327598638,10,100
20250306_235926,2025-03-06 23:59:36,77.63843359070016,10,100
20250306_235956,2025-03-07 00:00:05,81.14618427799168,10,100
20250307_000020,2025-03-07 00:00:29,73.36432164844189,10,100
20250307_000031,2025-03-07 00:00:42,64.95607078584234,10,100
20250307_000046,2025-03-07 00:00:56,69.10430589781069,10,100
20250307_000149,2025-03-07 00:02:05,66.36167099539662,10,100
20250307_000211,2025-03-07 00:02:24,59.69429949735422,10,100
20250307_000227,2025-03-07 00:02:37,72.9549996845885,10,100
20250307_000306,2025-03-07 00:03:15,73.19651367628522,10,100
20250307_000320,2025-03-07 00:03:31,70.33360378771008,10,100
20250307_000334,2025-03-07 00:03:43,67.71591404992952,10,100
20250307_000345,2025-03-07 00:03:53,68.59400078242513,10,100
20250307_000356,2025-03-07 00:04:04,73.21756985644348,10,100
20250307_000457,2025-03-07 00:05:05,77.65611319648518,10,100
20250307_000508,2025-03-07 00:05:21,64.41246344322315,10,100
20250307_000603,2025-03-07 00:06:18,73.06367820103968,10,100
20250307_101102,2025-03-07 10:11:23,82.7885563598049,10,100
20250312_232421,2025-03-12 23:25:40,70.80451167362203,10,100
20250319_143842,2025-03-19 14:39:37,78.08388023787435,10,100
20250401_182739,2025-04-01 18:28:04,74.25536022162143,10,100
20250510_153802,2025-05-10 15:50:34,76.97485567724553,10,100
20250510_174142,2025-05-10 17:42:51,82.895424281487,10,100
20250510_174940,2025-05-10 17:50:41,85.15579028776088,10,100
20250627_104434,2025-06-27 10:45:00,80.09669790132425,10,100
20250627_104822,2025-06-27 10:48:35,83.26215910044198,10,100
20250627_104839,2025-06-27 10:48:46,83.5160070519419,10,100
20250627_104858,2025-06-27 10:49:26,83.83805411221446,10,100
20250627_104930,2025-06-27 10:49:49,81.15582436916142,10,100
20250627_104955,2025-06-27 10:50:12,78.1210821794199,10,100
20250627_105202,2025-06-27 10:52:37,82.54461150794856,10,100
20250627_105244,2025-06-27 10:53:05,82.86381173568203,10,100
20250627_113450,2025-06-27 11:35:09,74.9116796922119,10,100
20250627_113649,2025-06-27 11:37:11,75.15436003781454,10,100
20250627_115107,2025-06-27 11:51:25,76.5290050952663,10,100
20250704_113112,2025-07-04 11:31:43,82.70321592302847,10,100
20250705_172839,2025-07-05 17:28:48,81.52591571001396,10,100
20250705_172851,2025-07-05 17:28:57,79.12252799066763,10,100
20250705_172910,2025-07-05 17:29:26,79.29716182293399,10,100
20250705_173208,2025-07-05 17:32:19,87.48193931603757,10,100
20250705_173226,2025-07-05 17:32:38,84.28770450957481,10,100
20250705_173241,2025-07-05 17:32:53,78.89566030035655,10,100
20250705_173257,2025-07-05 17:33:10,71.12512213075165,10,100
20250705_173313,2025-07-05 17:33:25,76.48348421954852,10,100
20250705_173331,2025-07-05 17:33:43,74.75348096779275,10,100
20250705_173348,2025-07-05 17:33:59,79.84142280028415,10,100
20250705_185608,2025-07-05 18:56:52,72.76934187070896,10,100
20250705_185703,2025-07-05 18:57:35,78.43901209859851,10,100
20250705_185742,2025-07-05 18:58:13,77.43823058552884,10,100
20250707_112214,2025-07-07 11:23:50,77.20564532015669,10,100
20250707_112359,2025-07-07 11:24:41,85.06385131207209,10,100
20250707_112904,2025-07-07 11:29:34,81.79614130083755,10,100
20250707_112945,2025-07-07 11:30:15,75.91417680499958,10,100
20250707_113019,2025-07-07 11:30:46,75.9595556060233,10,100
20250707_113049,2025-07-07 11:31:06,78.064918372407,10,100
20250707_113135,2025-07-07 11:31:49,81.81111116155209,10,100
20250910_155756,2025-09-10 15:58:20,80.5536328881007,10,100
20250911_110141,2025-09-11 11:01:46,93.02918940893984,10,40
20250911_111329,2025-09-11 11:13:35,91.50089124823168,8,30
20250911_111329,2025-09-11 11:13:41,91.50089124823168,8,30
20250911_111329,2025-09-11 11:13:47,91.50089124823168,8,30
20250911_111329,2025-09-11 11:13:54,91.50089124823168,8,30
20250911_111920,2025-09-11 11:19:25,96.3384853628756,6,20
20250911_112230,2025-09-11 11:22:34,83.33684887046499,10,100
20250911_112737,2025-09-11 11:27:43,72.51550381854382,10,100
20250911_113517,2025-09-11 11:35:21,95.19564068628164,6,20
20250911_113950,2025-09-11 11:40:04,72.40986567823984,10,100
20250911_114021,2025-09-11 11:40:32,76.07091370153054,10,100
20250911_114207,2025-09-11 11:42:07,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:08,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:09,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:09,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:10,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:10,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:11,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:11,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:12,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:13,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:13,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:14,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:14,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:15,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:16,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:16,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:17,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:17,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:18,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:18,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:19,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:20,97.9257869501772,6,20
20250911_114207,2025-09-11 11:42:20,97.9257869501772,6,20
